PO_ID,Date,Vendor_ID,Item_Description,Qty_Ordered,Unit,Expected_Delivery,Actual_Delivery,Status,Received_By,Notes
PO-001,2024-12-01,VEND-001,Dark Chocolate 10kg with Labels,10.0,kg,2024-12-10,2024-12-10,Received,Team,First batch. 1250 pieces of 8g each. Cost 23000.
PO-002,2025-01-15,VEND-001,Dark Chocolate 23.33kg (8g) + 20kg (25g),43.33,kg,2025-01-25,2025-01-25,Received,Team,Second batch. 2196 pieces 8g + 800 pieces 25g. Total cost 51326+42000.
PO-003,2025-07-01,VEND-002,Packaging Boxes 6pc and 8pc,500.0,pcs,2025-07-10,,Ordered,,For Gudoria brand launch.
